
[08:11 | 28 Jun 2022] Call to undefined method App\Controllers\DistrictController::unSlugify() /Users/deniev/Server/www/templates/views/district/district-leader.php (line 22)
[08:11 | 28 Jun 2022] Call to undefined method App\Controllers\DistrictController::unSlugify() /Users/deniev/Server/www/templates/views/district/district-leader.php (line 22)
[08:13 | 28 Jun 2022] syntax error, unexpected token ")", expecting variable or "{" or "$" /Users/deniev/Server/www/app/Service/Slugifier.php (line 74)
[08:17 | 28 Jun 2022] array_flip() expects exactly 1 argument, 0 given /Users/deniev/Server/www/app/Service/Slugifier.php (line 75)
[08:34 | 28 Jun 2022] Call to undefined method App\Service\Slugifier::unSlugify() /Users/deniev/Server/www/app/Controllers/AbstractController.php (line 61)
[10:14 | 28 Jun 2022] SQLSTATE[42S22]: Column not found: 1054 Unknown column 'uin' in 'where clause' /Users/deniev/Server/www/core/Data.php (line 193)
[10:14 | 28 Jun 2022] SQLSTATE[42S22]: Column not found: 1054 Unknown column 'uin' in 'where clause' /Users/deniev/Server/www/core/Data.php (line 193)
[10:15 | 28 Jun 2022] SQLSTATE[42S22]: Column not found: 1054 Unknown column 'id_uin' in 'where clause' /Users/deniev/Server/www/core/Data.php (line 193)
[10:15 | 28 Jun 2022] SQLSTATE[42S22]: Column not found: 1054 Unknown column 'id_uin' in 'where clause' /Users/deniev/Server/www/core/Data.php (line 193)
[10:23 | 28 Jun 2022] SQLSTATE[42S02]: Base table or view not found: 1146 Table 'teptar.districts' doesn't exist /Users/deniev/Server/www/core/Data.php (line 43)
[12:38 | 28 Jun 2022] SQLSTATE[42S02]: Base table or view not found: 1146 Table 'teptar.districts' doesn't exist /Users/deniev/Server/www/core/Data.php (line 43)
[12:40 | 28 Jun 2022] SQLSTATE[42S02]: Base table or view not found: 1146 Table 'teptar.districts' doesn't exist /Users/deniev/Server/www/core/Data.php (line 43)
